x,y,z
-0.843425,2.882289,0.332789
-0.591232,3.723158,0.641987
-1.270275,3.769231,0.613140
-0.035543,2.814809,0.273083
-1.283380,2.882290,0.366280
-0.236575,2.127042,0.090878
-0.038346,2.595190,0.200668
-5.585696,3.858697,-1.076170
-10.778090,7.716535,-2.886434
-1.453898,0.706525,-0.193780
-5.040256,3.457855,-0.877062
-0.571337,2.851585,0.369554
-0.846501,2.337677,0.097634
-1.301723,2.137000,-0.006397
-2.541296,-0.420322,-0.421351
-2.152300,-0.754684,-0.348738
-1.220682,3.665658,0.624900
-0.160919,2.120080,0.082242
-1.073940,2.713860,0.243663
-0.787121,2.264530,0.139392
-1.302901,2.886652,0.363854
-1.601309,3.240616,0.263020
-1.335309,3.454016,0.428541
-0.294183,2.170090,0.072890
-0.903720,2.045754,-0.013049
-2.963670,-1.266243,-0.511614
-6.324218,-0.785690,-1.376687
-2.321866,0.198977,-0.349717
-2.420473,0.286766,-0.424174
-12.018494,2.075709,-3.736168
-0.972706,2.249603,0.072637
-2.126978,-0.487142,-0.358530
-1.709572,0.138271,-0.288830
-6.363490,0.433604,-1.778445
-2.419344,0.242920,-0.401173
-1.496931,0.739498,-0.221649
-0.741523,2.984920,0.421041
-0.703182,1.399383,-0.049335
-1.653018,2.821340,0.265313
-1.324185,1.613114,-0.148046
-0.875017,2.911793,0.319801
-0.140297,2.720114,0.287067
-0.643604,3.007099,0.400661
-0.832468,2.317280,0.102620
-1.056830,2.201007,0.045604
-5.684681,0.899699,-1.368100
-3.192349,-0.505462,-0.580055
-2.713603,2.574402,-0.104607
-0.895702,2.042942,-0.011665
-2.235922,3.223579,0.212706
-0.959616,2.236767,0.079596
-1.834029,2.775893,0.278757
0.838173,-1.355763,0.560900
0.712675,-1.361883,0.531952
0.770169,-1.210824,0.546492
0.861128,-1.360430,0.586470
0.764161,-1.211618,0.536954
0.761192,-1.274271,0.543493
0.582220,-1.171198,0.488192
0.425500,-1.069119,0.424977
0.370064,-1.249155,0.429379
-1.120620,-0.710461,-0.134506
-1.182275,-0.684558,-0.172564
-1.386011,-0.120471,-0.249698
-0.028672,2.581365,0.212563
0.478338,-1.005317,0.425879
0.958933,-0.087345,0.491630
0.154525,2.420338,0.187577
0.038478,2.798111,0.303715
0.977089,-1.181579,0.599185
0.977910,-1.181536,0.599011
0.914553,-1.227541,0.574902
0.795718,-1.191093,0.554226
0.915433,-1.331878,0.581412
0.593318,-0.906366,0.468677
0.599421,-1.101997,0.491280
0.582561,-0.897527,0.457102
0.601072,-0.915458,0.480089
0.176399,-0.917673,0.315108
-0.520932,-0.803993,0.052501
-0.798438,-0.242923,-0.084112
-1.149935,-0.693751,-0.154465
-1.374776,0.157077,-0.234031
-1.361102,-1.144802,-0.132836
-1.330244,-1.151896,-0.122124
-0.054594,2.849908,0.339445
1.032611,-1.220749,0.593256
1.052755,-1.232619,0.617551
1.044643,-1.226315,0.612098
1.098713,-1.033896,0.648099
0.876936,-0.843276,0.547816
0.729492,-0.695667,0.491301
0.737410,-1.363230,0.557548
0.716940,-0.686752,0.481473
0.563429,-0.382954,0.377002
0.585955,-0.397353,0.398916
0.352462,-1.242711,0.412935
0.402577,-0.491484,0.339088
0.026244,-0.871858,0.248678
0.075522,-0.119641,0.213676
0.087744,-0.123883,0.223084
0.132493,-0.203365,0.276591
0.044565,-0.156839,0.216224
0.027462,-0.158162,0.200786
-0.929084,1.141719,-0.122092
1.017073,-0.130525,0.492738
1.256608,-1.008251,0.660168
1.175601,-1.128439,0.617331
1.058879,-1.116905,0.629469
1.269128,-0.830186,0.657798
1.225782,-0.942986,0.650299
1.237065,-0.689905,0.630219
1.207124,-1.020237,0.647186
0.765120,-1.457083,0.565289
1.103812,-0.515885,0.547944
0.969840,-0.686258,0.536434
1.046671,-0.368829,0.530378
1.008421,-0.318673,0.515052
1.179192,-0.565339,0.626620
0.558160,-1.378161,0.475419
1.174840,-0.530111,0.600767
1.057231,-0.399095,0.554852
1.031489,-0.367977,0.522042
0.894335,-0.558713,0.518138
1.013187,-0.315735,0.514953
0.600027,-1.182881,0.502808
0.524232,-1.226898,0.477510
0.703060,-0.676564,0.466103
0.879531,-0.186534,0.477203
0.919694,-0.070578,0.467141
0.916895,-0.071426,0.464993
1.002564,-0.116869,0.473557
0.869461,-0.172165,0.465352
0.712784,-0.687130,0.474524
0.686735,-0.663229,0.445907
0.609283,-0.918102,0.452987
0.369983,-0.591008,0.320768
0.429628,-0.624649,0.369455
0.439228,0.121381,0.263461
0.357579,-0.579364,0.306706
0.197461,-1.132885,0.381732
