x,y,z
-3.084605,-1.028731,-1.447741
-3.847857,-0.980438,-1.439723
-3.497148,-0.993604,-1.442141
-3.200986,-0.963101,-1.433668
-2.487907,-0.977946,-1.436913
-2.957049,-0.901874,-1.438951
-2.933951,-0.854171,-1.437152
-2.976542,-0.789095,-1.422593
-3.078642,-0.701828,-1.423368
-2.841990,-0.632210,-1.448017
-2.611089,-0.603839,-1.419322
-2.692073,-0.586226,-1.407833
-2.459058,-0.563178,-1.437152
-3.227982,-0.545578,-1.430097
-2.773072,-0.503712,-1.428925
-2.384467,-0.517728,-1.419939
-2.548271,-0.493420,-1.400054
-2.327054,-0.471811,-1.415951
-2.547360,-0.436095,-1.445706
-3.650204,-0.320734,-1.433532
-3.169575,-0.278964,-1.447396
-2.721922,-0.262626,-1.419994
-3.139978,-0.247951,-1.431600
-2.424718,-0.184259,-1.435063
-3.828510,0.068513,-1.405432
-3.150378,0.066275,-1.412629
-4.080314,0.676372,-1.405649
-2.948657,0.865004,-1.407604
-2.825245,1.050822,-1.430076
-3.994242,1.144665,-1.428411
-3.243012,1.122536,-1.413745
-3.772087,1.391305,-1.413072
-3.576953,1.457651,-1.446130
-3.577842,1.799788,-1.401651
-2.587940,1.789374,-1.408124
-2.652211,1.914816,-1.414961
-3.781705,2.137870,-1.410810
-3.722607,2.268389,-1.423222
-3.832597,-2.408458,-1.353989
-3.960136,-2.378165,-1.351410
-3.869339,-2.295298,-1.353338
-3.653014,-2.248547,-1.352655
-3.578039,-2.174820,-1.358715
-4.139039,-2.125904,-1.356808
-3.688521,-2.134594,-1.352520
-3.504685,-2.102764,-1.364447
-3.602283,-2.057785,-1.352168
-3.255310,-2.086563,-1.355017
-3.430584,-2.031759,-1.368381
-3.173239,-2.018038,-1.352732
-3.518666,-1.983177,-1.351877
-3.354534,-1.961552,-1.369713
-3.795694,-1.924158,-1.390779
-3.438269,-1.910841,-1.352122
-3.706767,-1.847999,-1.389983
-3.360981,-1.840646,-1.352936
-3.632597,-1.777250,-1.396879
-3.090653,-1.701022,-1.389548
-2.644250,-1.678307,-1.362290
-3.812289,-1.642313,-1.364983
-3.437560,-1.627993,-1.375908
-2.999715,-1.634225,-1.374009
-3.338040,-1.555438,-1.361286
-3.095754,-1.581863,-1.372971
-3.433174,-1.510870,-1.365941
-2.883900,-1.506749,-1.377713
-2.854379,-1.459347,-1.379171
-3.545562,-1.440644,-1.380991
-3.147314,-1.369946,-1.381617
-2.417149,-1.358309,-1.358011
-3.061065,-1.305765,-1.370011
-2.733468,-1.349264,-1.387374
-3.309116,-1.266963,-1.375810
-2.802940,-1.250043,-1.381597
-2.967496,-1.241747,-1.351482
-2.437563,-1.222259,-1.385557
-3.210113,-1.166673,-1.358682
-2.888728,-1.179892,-1.399516
-2.279704,-1.184057,-1.369372
-2.322780,-1.123287,-1.371131
-3.607768,-1.089657,-1.353810
-3.316124,-1.090091,-1.377432
-2.643975,-1.086636,-1.353882
-3.067545,-1.049679,-1.390319
-2.809497,-1.045631,-1.397847
-2.720514,-1.016471,-1.368470
-2.725533,-0.990104,-1.380846
-2.592894,-0.996698,-1.382976
-3.212153,-0.906346,-1.392525
-2.810006,-0.941214,-1.391162
-2.507584,-0.943828,-1.357724
-3.040123,-0.851543,-1.390622
-3.481019,-0.832543,-1.387362
-2.837288,-0.843054,-1.396772
-3.723788,-0.711248,-1.353849
-2.693650,-0.734028,-1.378873
-2.523353,-0.748090,-1.355814
-2.294204,-0.736968,-1.378677
-3.070324,-0.651590,-1.370346
-2.348406,-0.616180,-1.354838
-2.520890,-0.556471,-1.392534
-2.438688,-0.510404,-1.370661
-3.155391,-0.481865,-1.373728
-2.919577,-0.481734,-1.366248
-2.649841,-0.460211,-1.387244
-2.566402,-0.413645,-1.366460
-2.640454,-0.350586,-1.396140
-4.126956,-0.303645,-1.360419
-2.861691,-0.187585,-1.372257
-2.294347,-0.150929,-1.369346
-3.382122,-0.098980,-1.390320
-2.772247,-0.064780,-1.352238
-3.186150,0.269102,-1.385296
-2.998113,0.339347,-1.370455
-3.880555,0.487543,-1.364816
-2.978898,0.536878,-1.363899
-3.403174,0.616654,-1.366714
-2.843997,0.804813,-1.386096
-4.280644,0.873326,-1.359834
-3.292986,0.863759,-1.371586
-2.591657,0.900103,-1.370658
-4.115950,1.149984,-1.366536
-3.653815,1.193660,-1.392505
-3.534279,1.216202,-1.392100
-2.908331,1.445632,-1.370837
-3.684988,1.536086,-1.398418
-3.538162,1.620455,-1.384884
-3.263143,1.647984,-1.351972
-2.845790,1.755418,-1.398681
-3.444918,1.827525,-1.364037
-3.753740,1.895628,-1.373515
-3.532580,2.022195,-1.375800
-3.838268,2.341255,-1.393733
-3.793149,-2.592300,-1.306506
-3.693271,-2.509674,-1.304242
-4.020944,-2.452787,-1.330581
-3.916457,-2.488993,-1.348685
-3.730787,-2.324329,-1.346917
-3.765054,-2.210019,-1.345398
-4.195646,-2.191377,-1.323719
-3.982559,-2.026141,-1.332378
-3.085650,-1.949692,-1.345195
-2.715112,-1.879143,-1.318886
-2.788739,-1.821609,-1.328757
-4.349711,-1.784971,-1.309530
-3.266353,-1.767699,-1.340766
-3.650726,-1.714030,-1.330255
-2.508885,-1.743639,-1.300888
-3.182711,-1.698895,-1.334278
-3.098444,-1.631411,-1.325824
-2.935652,-1.634569,-1.308527
-3.304893,-1.581459,-1.338682
-2.837991,-1.557595,-1.305984
-2.983853,-1.511149,-1.342651
-2.508468,-1.508473,-1.340103
-3.243068,-1.485638,-1.347842
-2.890409,-1.445838,-1.323511
-2.911610,-1.381134,-1.304081
-2.802546,-1.383152,-1.306712
-2.679676,-1.325980,-1.334278
-2.574730,-1.288136,-1.316248
-2.175709,-1.257163,-1.314942
-3.733820,-1.203524,-1.333234
-3.359861,-1.246818,-1.312163
-3.073719,-1.247603,-1.317595
-2.823559,-1.209724,-1.312297
-3.431503,-1.180616,-1.302125
-3.142711,-1.188643,-1.319967
-2.840433,-1.173734,-1.306511
-3.599380,-1.138120,-1.319283
-2.905341,-1.140241,-1.324275
-2.397918,-1.024564,-1.310495
-2.072611,-1.005245,-1.320806
-2.613728,-0.934258,-1.340698
-2.105840,-0.946736,-1.317473
-2.788268,-0.893685,-1.309715
-2.493791,-0.898165,-1.307107
-2.407229,-0.886288,-1.339833
-2.396892,-0.894389,-1.316707
-2.148305,-0.884671,-1.321505
-3.592999,-0.801427,-1.333502
-2.906595,-0.807463,-1.348933
-2.571021,-0.824360,-1.326557
-2.460840,-0.827359,-1.327679
-2.184838,-0.823652,-1.319714
-2.880153,-0.788364,-1.329282
-2.696013,-0.784842,-1.335652
-3.334132,-0.748743,-1.345737
-2.606500,-0.732753,-1.312114
-2.501487,-0.704713,-1.300203
-3.799598,-0.685300,-1.330838
-3.056056,-0.673773,-1.306978
-2.561583,-0.684608,-1.322281
-2.332800,-0.676577,-1.300202
-2.294656,-0.686300,-1.344782
-3.158879,-0.587329,-1.327322
-2.785777,-0.582303,-1.315587
-2.670880,-0.465634,-1.305625
-2.357693,-0.465732,-1.348324
-2.912120,-0.432885,-1.315200
-2.528474,-0.448783,-1.346772
-2.296524,-0.421126,-1.341272
-2.166320,-0.438694,-1.322739
-2.481479,-0.368575,-1.342939
-2.094142,-0.397794,-1.302993
-2.720425,-0.301298,-1.312654
-2.397915,-0.324954,-1.318971
-2.335272,-0.281656,-1.311034
-2.691341,-0.155737,-1.333892
-2.383773,-0.189215,-1.340996
-2.213604,-0.112626,-1.343910
-2.453515,-0.050923,-1.323160
-2.151954,-0.072538,-1.333770
-2.302923,-0.022201,-1.319678
-2.073612,-0.036517,-1.307808
-2.522364,0.037009,-1.339828
-2.268045,0.024284,-1.318770
-1.891639,0.030724,-1.309354
-1.837653,0.068396,-1.300967
-2.333552,0.111808,-1.336707
-2.346939,0.170960,-1.310847
-3.965991,0.217373,-1.312750
-2.412980,0.261478,-1.326921
-1.963889,0.304252,-1.319882
-1.905615,0.339385,-1.308590
-2.622479,0.607734,-1.319048
-4.006339,0.667939,-1.321866
-3.872707,0.893892,-1.328440
-3.599111,0.955269,-1.332531
-2.623398,1.041185,-1.339266
-3.073814,1.142830,-1.340211
-3.034716,1.116772,-1.340253
-3.800092,1.216795,-1.333873
-2.768469,1.274189,-1.314548
-3.533505,1.389530,-1.348108
-2.941180,1.354498,-1.349519
-3.263835,1.423385,-1.325088
-3.435358,1.534702,-1.314121
-2.710908,1.575519,-1.345065
-2.410431,1.561633,-1.308670
-3.708854,1.656861,-1.326791
-3.550848,1.899555,-1.325802
-2.674912,2.068084,-1.342991
-3.906732,-2.734874,-1.257228
-3.849811,-2.663134,-1.282323
-3.563959,-2.420436,-1.282416
-3.856734,-2.391447,-1.253902
-3.468586,-2.342700,-1.278688
-3.977548,-2.282155,-1.266772
-3.393047,-2.271750,-1.285405
-3.665061,-2.220608,-1.250011
-3.313671,-2.201033,-1.288287
-3.577736,-2.140683,-1.250427
-3.219917,-2.128131,-1.280458
-3.500834,-2.065763,-1.255634
-2.753691,-2.002778,-1.259938
-3.689622,-1.983514,-1.263602
-3.426834,-1.993105,-1.261210
-3.815548,-1.922682,-1.286389
-3.355458,-1.922529,-1.267076
-2.832971,-1.947302,-1.270006
-2.599451,-1.937848,-1.276648
-3.282635,-1.852724,-1.270653
-2.896710,-1.862669,-1.266623
-3.703908,-1.845205,-1.293243
-3.376276,-1.844759,-1.280876
-2.827924,-1.801866,-1.267740
-3.605845,-1.771284,-1.293867
-3.474475,-1.784653,-1.283560
-3.204102,-1.782492,-1.269049
-3.116760,-1.711143,-1.259973
-2.802189,-1.701623,-1.262687
-2.735330,-1.737920,-1.250789
-4.182819,-1.697119,-1.293876
-3.484379,-1.691379,-1.278036
-2.668510,-1.679853,-1.250564
-2.026254,-1.695224,-1.250412
-3.350811,-1.609580,-1.251960
-2.651635,-1.630566,-1.285549
-2.607525,-1.647193,-1.265417
-2.708703,-1.583530,-1.295972
-2.555765,-1.569841,-1.261988
-3.497840,-1.505684,-1.271654
